,time,exp,func,param1,param2
0,401.376,stdin,input(),,
1,411.3121,stdin,input(),,
2,393.02896,stdin,input(),,
3,400.05804,stdin,input(),,
4,400.718,stdin,input(),,
5,529.0411,stdin,input(),,
6,432.04785,stdin,input(),,
7,396.84415,stdin,input(),,
8,393.9848,stdin,input(),,
9,388.41296,stdin,input(),,
10,383.16797,stdin,input(),,
11,388.79706,stdin,input(),,
12,381.722,stdin,input(),,
13,396.95407,stdin,input(),,
14,390.03397,stdin,input(),,
15,378.92294,stdin,input(),,
16,383.88394,stdin,input(),,
17,382.1411,stdin,input(),,
18,386.4062,stdin,input(),,
19,374.37796,stdin,input(),,
20,401.38696,stdin,input(),,
21,376.58,stdin,input(),,
22,393.24094,stdin,input(),,
23,386.5099,stdin,input(),,
24,391.89722,stdin,input(),,
25,379.23407,stdin,input(),,
26,385.26703,stdin,input(),,
27,393.00394,stdin,input(),,
28,387.77994,stdin,input(),,
29,397.08685,stdin,input(),,
30,382.25198,stdin,input(),,
31,382.79794,stdin,input(),,
32,386.76596,stdin,input(),,
33,391.78897,stdin,input(),,
34,378.65497,stdin,input(),,
35,413.18893,stdin,input(),,
36,379.03906,stdin,input(),,
37,387.58994,stdin,input(),,
38,374.5339,stdin,input(),,
39,386.42,stdin,input(),,
40,394.9349,stdin,input(),,
41,375.8979,stdin,input(),,
42,383.33893,stdin,input(),,
43,373.95502,stdin,input(),,
44,388.96204,stdin,input(),,
45,387.46906,stdin,input(),,
46,401.3939,stdin,input(),,
47,390.01895,stdin,input(),,
48,379.87305,stdin,input(),,
49,381.917,stdin,input(),,
50,381.26422,stdin,input(),,
51,384.38702,stdin,input(),,
52,374.21704,stdin,input(),,
53,389.23596,stdin,input(),,
54,383.75903,stdin,input(),,
55,443.1739,stdin,input(),,
56,375.94604,stdin,input(),,
57,419.81412,stdin,input(),,
58,395.72095,stdin,input(),,
59,385.25797,stdin,input(),,
60,377.72202,stdin,input(),,
61,377.35605,stdin,input(),,
62,382.76886,stdin,input(),,
63,379.99915,stdin,input(),,
64,388.44992,stdin,input(),,
65,392.359,stdin,input(),,
66,400.455,stdin,input(),,
67,397.95184,stdin,input(),,
68,543.9589,stdin,input(),,
69,434.79895,stdin,input(),,
70,413.9321,stdin,input(),,
71,397.6531,stdin,input(),,
72,418.18,stdin,input(),,
73,375.4959,stdin,input(),,
74,396.6639,stdin,input(),,
75,383.19586,stdin,input(),,
76,389.38715,stdin,input(),,
77,380.1651,stdin,input(),,
78,384.3789,stdin,input(),,
79,388.263,stdin,input(),,
80,385.02597,stdin,input(),,
81,380.3482,stdin,input(),,
82,377.084,stdin,input(),,
83,378.71002,stdin,input(),,
84,371.8779,stdin,input(),,
85,401.65997,stdin,input(),,
86,385.72098,stdin,input(),,
87,392.47894,stdin,input(),,
88,379.51898,stdin,input(),,
89,385.53,stdin,input(),,
90,391.191,stdin,input(),,
91,380.28098,stdin,input(),,
92,386.94,stdin,input(),,
93,372.59793,stdin,input(),,
94,380.87796,stdin,input(),,
95,391.5162,stdin,input(),,
96,395.22314,stdin,input(),,
97,386.49606,stdin,input(),,
98,382.70212,stdin,input(),,
99,393.008,stdin,input(),,
100,35.54702,stdin,sys.stdin.readline(),,
101,36.263943,stdin,sys.stdin.readline(),,
102,37.493942,stdin,sys.stdin.readline(),,
103,39.631126,stdin,sys.stdin.readline(),,
104,36.71503,stdin,sys.stdin.readline(),,
105,37.733078,stdin,sys.stdin.readline(),,
106,37.587166,stdin,sys.stdin.readline(),,
107,38.3451,stdin,sys.stdin.readline(),,
108,37.322998,stdin,sys.stdin.readline(),,
109,35.886047,stdin,sys.stdin.readline(),,
110,37.58407,stdin,sys.stdin.readline(),,
111,36.48615,stdin,sys.stdin.readline(),,
112,37.938835,stdin,sys.stdin.readline(),,
113,40.955067,stdin,sys.stdin.readline(),,
114,40.83705,stdin,sys.stdin.readline(),,
115,36.625862,stdin,sys.stdin.readline(),,
116,35.463097,stdin,sys.stdin.readline(),,
117,37.19211,stdin,sys.stdin.readline(),,
118,35.79402,stdin,sys.stdin.readline(),,
119,36.162853,stdin,sys.stdin.readline(),,
120,36.105873,stdin,sys.stdin.readline(),,
121,36.417007,stdin,sys.stdin.readline(),,
122,36.49807,stdin,sys.stdin.readline(),,
