,time,exp,func,param1,param2
0,7.68006,list3,[[None] * N for _ in range(N)],1000,
1,5.254156,list3,[[None] * N for _ in range(N)],1000,
2,2.574125,list3,[[None] * N for _ in range(N)],1000,
3,2.582458,list3,[[None] * N for _ in range(N)],1000,
4,2.5562708,list3,[[None] * N for _ in range(N)],1000,
5,2.582391,list3,[[None] * N for _ in range(N)],1000,
6,2.817616,list3,[[None] * N for _ in range(N)],1000,
7,2.58784,list3,[[None] * N for _ in range(N)],1000,
8,2.5566552,list3,[[None] * N for _ in range(N)],1000,
9,2.59008,list3,[[None] * N for _ in range(N)],1000,
10,2.55398,list3,[[None] * N for _ in range(N)],1000,
11,2.585619,list3,[[None] * N for _ in range(N)],1000,
12,5.422675,list3,[[None] * N for _ in range(N)],1000,
13,2.573959,list3,[[None] * N for _ in range(N)],1000,
14,2.588906,list3,[[None] * N for _ in range(N)],1000,
15,2.71911,list3,[[None] * N for _ in range(N)],1000,
16,2.5645669,list3,[[None] * N for _ in range(N)],1000,
17,2.5868,list3,[[None] * N for _ in range(N)],1000,
18,2.5880508,list3,[[None] * N for _ in range(N)],1000,
19,2.5840058,list3,[[None] * N for _ in range(N)],1000,
20,2.580038,list3,[[None] * N for _ in range(N)],1000,
21,2.557572,list3,[[None] * N for _ in range(N)],1000,
22,2.662986,list3,[[None] * N for _ in range(N)],1000,
23,2.605098,list3,[[None] * N for _ in range(N)],1000,
24,2.522837,list3,[[None] * N for _ in range(N)],1000,
25,2.4786642,list3,[[None] * N for _ in range(N)],1000,
26,3.11321,list3,[[None] * N for _ in range(N)],1000,
27,2.662918,list3,[[None] * N for _ in range(N)],1000,
28,2.802051,list3,[[None] * N for _ in range(N)],1000,
29,2.6729958,list3,[[None] * N for _ in range(N)],1000,
30,2.719197,list3,[[None] * N for _ in range(N)],1000,
31,2.672725,list3,[[None] * N for _ in range(N)],1000,
32,2.600215,list3,[[None] * N for _ in range(N)],1000,
33,2.609689,list3,[[None] * N for _ in range(N)],1000,
34,2.548286,list3,[[None] * N for _ in range(N)],1000,
35,2.557917,list3,[[None] * N for _ in range(N)],1000,
36,2.5373142,list3,[[None] * N for _ in range(N)],1000,
37,2.573877,list3,[[None] * N for _ in range(N)],1000,
38,2.591573,list3,[[None] * N for _ in range(N)],1000,
39,2.582931,list3,[[None] * N for _ in range(N)],1000,
40,2.5504773,list3,[[None] * N for _ in range(N)],1000,
41,3.396318,list3,[[None] * N for _ in range(N)],1000,
42,2.602878,list3,[[None] * N for _ in range(N)],1000,
43,2.628068,list3,[[None] * N for _ in range(N)],1000,
44,2.592845,list3,[[None] * N for _ in range(N)],1000,
45,2.5798678,list3,[[None] * N for _ in range(N)],1000,
46,2.619914,list3,[[None] * N for _ in range(N)],1000,
47,2.577077,list3,[[None] * N for _ in range(N)],1000,
48,2.6332488,list3,[[None] * N for _ in range(N)],1000,
49,2.597955,list3,[[None] * N for _ in range(N)],1000,
50,2.601387,list3,[[None] * N for _ in range(N)],1000,
51,2.579175,list3,[[None] * N for _ in range(N)],1000,
52,2.5887132,list3,[[None] * N for _ in range(N)],1000,
53,2.583705,list3,[[None] * N for _ in range(N)],1000,
54,2.5792542,list3,[[None] * N for _ in range(N)],1000,
